,,,,,,trt,C,C,C,C,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,C,T,T,T,T,T,T,T,T,T,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
,,,,,,lim,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
,,,,,,cID,N1,N1,N1,N1,N2,N2,N2,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N2,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N3,N3,N3,N3,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N1,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N5,N5,N2,N2,N5,N5,NA,NA,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P3,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P3,P2,P2,P2,P2,P2,P4,P4,P4,P4,P5,P2,P2,P2,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P5,P5
T,N,N3,9,3,2,3N32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,9,3,1,3N51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,0,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,9,3,2,3N52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,23,5,2,5N22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,23,5,2,5N22,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,23,5,3,5N23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,23,5,1,5N31,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,23,5,2,5N32,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,23,5,3,5N33,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,NA,0,1,1,0,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,NA,1,1,1,1,1
T,N,N5,23,5,1,5N51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,23,5,2,5N52,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
